Latitude,Longitude,Demand
-23.18407423051423,-45.88410592513663,95
-23.1805506218516,-45.883217734159004,104
-23.181604325334508,-45.881628770247566,87
-23.18420073328082,-45.881304347980105,110
-23.184888779392697,-45.87921227242901,98
-23.187234958760257,-45.88525902585442,102
-23.182851650886096,-45.886769414827505,91
-23.17815055042277,-45.88588198203222,108
-23.177891136287418,-45.88474716592885,99
-23.178025099716915,-45.88277852166543,105
-23.178878223652486,-45.88143607845545,92
-23.178154190047394,-45.87821185028974,113
-23.1767957772725,-45.87693750035647,97
-23.174972586728966,-45.87586117671291,101
-23.178455621336358,-45.87525307979338,89
-23.18277202187046,-45.87639322524261,106
-23.18483243147518,-45.875455742482366,94
-23.187197110807613,-45.877367618312995,115
-23.19064173035403,-45.879781274225465,90
-23.189271988665073,-45.880610381062276,103
-23.187936633185068,-45.88192950477635,109
-23.189040382527008,-45.88252160006265,96
-23.191642005980032,-45.88641118003669,100
-23.191701987773897,-45.88715604141939,112
-23.190137540180004,-45.886967119393105,88
-23.190551527017277,-45.88876119280582,107
-23.191202188625134,-45.89082905305565,93
-23.1878968329477,-45.88798069294438,111
-23.186317485006274,-45.88777572073653,84
-23.18944332821855,-45.88907519672927,116
-23.180229408974366,-45.88913344080554,97
-23.189938806483884,-45.89125040116662,102
-23.17682868717831,-45.88843414591472,95
-23.176106786987994,-45.883145334185635,108
-23.175136838608864,-45.881363666814345,99
-23.182089407380243,-45.873248368517736,105
-23.186642782774065,-45.87435079660525,91
-23.189734802717954,-45.876926865816486,114
-23.190610073986793,-45.87563997444562,98
-23.194947158960087,-45.87637624865476,100
-23.19204947856086,-45.88143806761834,86
-23.19434475554656,-45.88286859304546,110
-23.193027123183732,-45.88688538440543,103
-23.192729297532935,-45.888230527734315,92
-23.194188015880364,-45.88937091710031,107
-23.196304976240842,-45.88863466506866,96
-23.196719911524173,-45.89178920157687,109
-23.19624646851141,-45.893088442299685,90
-23.194917120182435,-45.89555611881768,113
-23.193254062320737,-45.89812991681201,94
-23.193679845377147,-45.90449942908319,101
-23.187058569104522,-45.91341142969598,88
-23.163431780879,-45.903218501889235,104
-23.173153286454284,-45.89221035870158,97
-23.1697513379154,-45.8934143396178,112
-23.170297992870843,-45.89140063473182,95
-23.18306474458879,-45.870924221654185,106
-23.18272601294524,-45.87185775078105,99
-23.186602922101972,-45.872476476770146,108
-23.19033539088131,-45.87360051561221,93
-23.192859563531997,-45.87322154549744,110
-23.197429518325002,-45.88078709124082,87
-23.201995684647336,-45.88686125082188,115
-23.201967346030855,-45.890724272629186,98
-23.195280406948257,-45.88537959471472,102
-23.197995694274788,-45.88829902449296,94
-23.19804507760107,-45.88969512239371,111
-23.198516821392648,-45.89411146289788,100
-23.199500046123152,-45.894509799888766,105
-23.197388206410007,-45.8941886469503,91
-23.196382375796496,-45.904053376623935,107
-23.198691439364936,-45.9047077571822,96
-23.19697183351221,-45.91007884107874,109
-23.167271154092347,-45.89354776220518,89
-23.164292786838455,-45.89720549915226,113
-23.16158440949206,-45.89761953976469,92
-23.1634642472208,-45.89390893703062,104
-23.182475607293608,-45.86230835422115,97
-23.182801553144333,-45.86191494167834,108
-23.18335712619841,-45.860438953853595,95
-23.18408217067494,-45.86145643503558,101
-23.186120357354383,-45.86852004719577,90
-23.191845950771807,-45.86889148039374,112
-23.19372940940909,-45.870950276748914,98
-23.205088325833092,-45.89302052807348,106
-23.204571650761103,-45.89520571105601,93
-23.202646351049516,-45.89410934780729,110
-23.201612520264167,-45.89451039765369,88
-23.20069391961896,-45.89842103806153,114
-23.202498237422724,-45.899580422951004,99
-23.161420520655476,-45.900161003571284,103
-23.16151810949119,-45.90151704780026,91
-23.163096691756444,-45.90091893350586,107
-23.159855876378366,-45.89904248264952,96
-23.158397684872416,-45.900715421521376,109
-23.15597682494234,-45.89942859056005,94
-23.157463807599537,-45.89745355633251,111
-23.158659169292527,-45.89596054663969,97
-23.16078726898136,-45.8950633534934,105
