Latitude,Longitude
-23.18407423051423,-45.88410592513663
-23.1805506218516,-45.883217734159004
-23.181604325334508,-45.881628770247566
-23.18420073328082,-45.881304347980105
-23.184888779392697,-45.87921227242901
-23.187234958760257,-45.88525902585442
-23.182851650886096,-45.886769414827505
-23.17815055042277,-45.88588198203222
-23.177891136287418,-45.88474716592885
-23.178025099716915,-45.88277852166543
-23.178878223652486,-45.88143607845545
-23.178154190047394,-45.87821185028974
-23.1767957772725,-45.87693750035647
-23.174972586728966,-45.87586117671291
-23.178455621336358,-45.87525307979338
-23.18277202187046,-45.87639322524261
-23.18483243147518,-45.875455742482366
-23.187197110807613,-45.877367618312995
-23.19064173035403,-45.879781274225465
-23.189271988665073,-45.880610381062276
-23.187936633185068,-45.88192950477635
-23.189040382527008,-45.88252160006265
-23.191642005980032,-45.88641118003669
-23.191701987773897,-45.88715604141939
-23.190137540180004,-45.886967119393105
-23.190551527017277,-45.88876119280582
-23.191202188625134,-45.89082905305565
-23.1878968329477,-45.88798069294438
-23.186317485006274,-45.88777572073653
-23.18944332821855,-45.88907519672927
-23.180229408974366,-45.88913344080554
-23.189938806483884,-45.89125040116662
-23.17682868717831,-45.88843414591472
-23.176106786987994,-45.883145334185635
-23.175136838608864,-45.881363666814345
-23.182089407380243,-45.873248368517736
-23.186642782774065,-45.87435079660525
-23.189734802717954,-45.876926865816486
-23.190610073986793,-45.87563997444562
-23.194947158960087,-45.87637624865476
-23.19204947856086,-45.88143806761834
-23.19434475554656,-45.88286859304546
-23.193027123183732,-45.88688538440543
-23.192729297532935,-45.888230527734315
-23.194188015880364,-45.88937091710031
-23.196304976240842,-45.88863466506866
-23.196719911524173,-45.89178920157687
-23.19624646851141,-45.893088442299685
-23.194917120182435,-45.89555611881768
-23.193254062320737,-45.89812991681201
-23.193679845377147,-45.90449942908319
-23.187058569104522,-45.91341142969598
-23.163431780879,-45.903218501889235
-23.173153286454284,-45.89221035870158
-23.1697513379154,-45.8934143396178
-23.170297992870843,-45.89140063473182
-23.18306474458879,-45.870924221654185
-23.18272601294524,-45.87185775078105
-23.186602922101972,-45.872476476770146
-23.19033539088131,-45.87360051561221
-23.192859563531997,-45.87322154549744
-23.197429518325002,-45.88078709124082
-23.201995684647336,-45.88686125082188
-23.201967346030855,-45.890724272629186
-23.195280406948257,-45.88537959471472
-23.197995694274788,-45.88829902449296
-23.19804507760107,-45.88969512239371
-23.198516821392648,-45.89411146289788
-23.199500046123152,-45.894509799888766
-23.197388206410007,-45.8941886469503
-23.196382375796496,-45.904053376623935
-23.198691439364936,-45.9047077571822
-23.19697183351221,-45.91007884107874
-23.167271154092347,-45.89354776220518
-23.164292786838455,-45.89720549915226
-23.16158440949206,-45.89761953976469
-23.1634642472208,-45.89390893703062
-23.182475607293608,-45.86230835422115
-23.182801553144333,-45.86191494167834
-23.18335712619841,-45.860438953853595
-23.18408217067494,-45.86145643503558
-23.186120357354383,-45.86852004719577
-23.191845950771807,-45.86889148039374
-23.19372940940909,-45.870950276748914
-23.205088325833092,-45.89302052807348
-23.204571650761103,-45.89520571105601
-23.202646351049516,-45.89410934780729
-23.201612520264167,-45.89451039765369
-23.20069391961896,-45.89842103806153
-23.202498237422724,-45.899580422951004
-23.161420520655476,-45.900161003571284
-23.16151810949119,-45.90151704780026
-23.163096691756444,-45.90091893350586
-23.159855876378366,-45.89904248264952
-23.158397684872416,-45.900715421521376
-23.15597682494234,-45.89942859056005
-23.157463807599537,-45.89745355633251
-23.158659169292527,-45.89596054663969
-23.16078726898136,-45.8950633534934
-23.15910927199331,-45.89318536604591
-23.15724668537715,-45.88945407573552
-23.159190455545886,-45.89102319046604
-23.178289617969682,-45.86019849655724
-23.174696684516032,-45.853862647990496
-23.172981022687928,-45.852311992647614
-23.176416230036033,-45.85501293619087
-23.178388034945712,-45.85547882006095
-23.18028509404525,-45.8543351311207
-23.182042971711738,-45.85755220252676
-23.184197740123704,-45.8586023030462
-23.18534505338458,-45.856169500322494
-23.184534906912702,-45.85723688808185
-23.186046955936067,-45.85756913716827
-23.185192700714587,-45.85785412434644
-23.18610327586979,-45.858509186107256
-23.185140610507727,-45.85916352188477
-23.190644745875275,-45.864859042740456
-23.192077031170044,-45.86725047594826
-23.209526267107012,-45.89291046381075
-23.205562027011908,-45.896855175831355
-23.206771543808657,-45.89682253141166
-23.207777381005595,-45.89595408665533
-23.205073259406,-45.899561625036114
-23.20370897258425,-45.9004121946757
-23.20512379549155,-45.901830411000844
-23.171970731486514,-45.84979932113716
-23.16913204754518,-45.841082823040765
-23.16735133202897,-45.84061238043581
-23.174510265419936,-45.851318019264816
-23.17577432526738,-45.85048148866499
-23.176992131732902,-45.85232644400679
-23.17782222299941,-45.85042416072349
-23.178695703667515,-45.85206723108991
-23.178756297690377,-45.8491763886074
-23.177257775431556,-45.84792691863552
-23.183305361237363,-45.852612868469315
-23.183868372789973,-45.85460377091633
-23.19425796077422,-45.863756855748846
-23.201516440866055,-45.860488637367474
-23.21323781622858,-45.90914290077475
-23.214211033919508,-45.90422379395624
-23.220307273438475,-45.910484512144926
-23.205945587024345,-45.9147774029503
-23.20861197745203,-45.91416831021585
-23.207953212521804,-45.90566876822741
-23.171173057706596,-45.8399274211755
-23.17257615314639,-45.84389348798056
-23.177688427896147,-45.846053488844355
-23.166850964393998,-45.83840202552792
-23.169177439037355,-45.83713004393399
-23.204660660721707,-45.853340224454236
-23.203517203086754,-45.85433726063101
-23.201941280752088,-45.85610376853493
-23.205133428479634,-45.859046616099874
-23.2041348039282,-45.856870762611045
-23.206148955172996,-45.853112312910994
-23.20766709424617,-45.85193573296106
-23.20983268447385,-45.85019494191946
-23.21232465513829,-45.852449563361475
-23.212153770523614,-45.85569843205871
-23.18348754621609,-45.861753816349456
-23.182945181303925,-45.86074058233652
-23.183820974393242,-45.86022559939589
-23.174888580415054,-45.88469326372204
-23.17800398633804,-45.886871759434435
-23.189473410576067,-45.87822971729382
-23.18029638444783,-45.87489305554006
-23.196041752943064,-45.88692920012519
-23.162880508199702,-45.892730129671286
-23.19269160047483,-45.884384211466
-23.190566225710064,-45.88385947055774
-23.176073457760005,-45.890274432188136
-23.19384654197522,-45.89363542777377
-23.176063314834455,-45.88759928115575
-23.176563756521126,-45.88046174205152
-23.175184654940022,-45.89236029289019
-23.164905565393063,-45.892840289272414
-23.165565883864073,-45.89324514801535
-23.16629395114364,-45.8930094782276
-23.184811315496802,-45.87026785116557
-23.19817614910449,-45.87896216146059
-23.204537700940254,-45.88554453722955
-23.205098915071495,-45.885136627365206
-23.16920894254116,-45.89272598080478
-23.204176452843686,-45.903037312948506
-23.207144300044888,-45.90129953680186
-23.206736741769358,-45.9044476422972
-23.208493313050752,-45.902465552669625
-23.20585056073123,-45.90441020057082
-23.198940803966714,-45.91140575809365
-23.20117561232905,-45.908804141828064
-23.20164042877581,-45.90784964483392
-23.202007608236812,-45.90750384234791
-23.202123576511365,-45.90838638227162
-23.200442070646375,-45.9086823545184
